570,ASSAULT
571,THEFT
572,CRIMINAL DAMAGE
573,THEFT
574,THEFT
575,BATTERY
576,THEFT
577,THEFT
578,THEFT
579,THEFT
580,OFFENSE INVOLVING CHILDREN
581,ASSAULT
582,ASSAULT
583,CRIMINAL DAMAGE
584,THEFT
585,THEFT
586,CRIMINAL DAMAGE
587,THEFT
588,CRIMINAL DAMAGE
589,BURGLARY
590,BATTERY
591,BATTERY
592,THEFT
593,THEFT
594,THEFT
595,THEFT
596,THEFT
597,CRIMINAL DAMAGE
598,BATTERY
599,THEFT
600,NARCOTICS
601,THEFT
602,NARCOTICS
603,ARSON
604,BATTERY
605,CRIMINAL DAMAGE
606,ASSAULT
607,THEFT
608,ASSAULT
609,NARCOTICS
610,BATTERY
611,MOTOR VEHICLE THEFT
612,OTHER OFFENSE
613,BURGLARY
614,THEFT
615,OTHER OFFENSE
616,THEFT
617,MOTOR VEHICLE THEFT
618,THEFT
619,BATTERY
620,NARCOTICS
621,ASSAULT
622,THEFT
623,THEFT
624,THEFT
625,MOTOR VEHICLE THEFT
626,GAMBLING
627,DECEPTIVE PRACTICE
628,BATTERY
629,CRIMINAL DAMAGE
630,INTERFERENCE WITH PUBLIC OFFICER
631,BURGLARY
632,NARCOTICS
633,CRIMINAL DAMAGE
634,DECEPTIVE PRACTICE
635,OTHER OFFENSE
636,CRIMINAL DAMAGE
637,INTERFERENCE WITH PUBLIC OFFICER
638,BATTERY
639,ROBBERY
640,CRIMINAL DAMAGE
641,MOTOR VEHICLE THEFT
642,ASSAULT
643,OTHER OFFENSE
644,SEX OFFENSE
645,OTHER OFFENSE
646,THEFT
647,THEFT
648,DECEPTIVE PRACTICE
649,DECEPTIVE PRACTICE
650,ASSAULT
651,DECEPTIVE PRACTICE
652,OTHER OFFENSE
653,BATTERY
654,THEFT
655,BURGLARY
656,THEFT
657,THEFT
658,DECEPTIVE PRACTICE
659,BATTERY
660,BURGLARY
661,DECEPTIVE PRACTICE
662,ASSAULT
663,NARCOTICS
664,ROBBERY
665,DECEPTIVE PRACTICE
666,BURGLARY
667,NARCOTICS
668,INTERFERENCE WITH PUBLIC OFFICER
669,NARCOTICS
670,BATTERY
671,BURGLARY
672,THEFT
673,BURGLARY
674,THEFT
675,CRIMINAL DAMAGE
676,DECEPTIVE PRACTICE
677,CRIMINAL DAMAGE
678,BATTERY
679,BATTERY
680,BATTERY
681,BATTERY
682,BATTERY
683,CRIMINAL DAMAGE
684,BATTERY
685,OFFENSE INVOLVING CHILDREN
686,BATTERY
687,DECEPTIVE PRACTICE
688,ASSAULT
689,THEFT
690,BATTERY
691,BATTERY
692,CRIM SEXUAL ASSAULT
693,OFFENSE INVOLVING CHILDREN
694,NARCOTICS
695,NARCOTICS
696,OTHER OFFENSE
697,THEFT
698,NARCOTICS
699,NARCOTICS
700,DECEPTIVE PRACTICE
701,CRIMINAL DAMAGE
702,CRIMINAL DAMAGE
703,BATTERY
704,WEAPONS VIOLATION
705,THEFT
706,THEFT
707,THEFT
708,OTHER OFFENSE
709,CRIMINAL TRESPASS
710,THEFT
